City,State,Population,Land_Area,Location_Coordinates,Airports,Wiki_Page,City_Description
Pittsburgh,Pennsylvania,"301,048",55.4 sq mi,40°26′23″N 79°58′36″W﻿ ,"
Pittsburgh International
Arnold Palmer
Allegheny County
Beaver
Butler
Eddie Dew
Greensburg Jeannette
Herron
Jefferson
Jimmy Stewart
Joe Hardy
Lakehill
Monroeville
New Castle
Rock
Rostraver
Washington
Wheeling
Zelienople
",https://en.wikipedia.org/wiki/Pittsburgh,b'Pittsburgh (/ptsbr/ PITS-burg) is a city in the Commonwealth of Pennsylvania in the United States and is the county seat of Allegheny County. A population of about 301048 residents live within the city limits making it the 66th-largest city in the U.S. The metropolitan population of 2324743 is the largest in both the Ohio Valley and Appalachia the second-largest in Pennsylvania (behind Philadelphia) and the 27th-largest in the U.S.'
Greensboro,North Carolina,"294,722",128.3 sq mi,36°05′42″N 79°49′37″W﻿ ,,"https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","b'In 1808 ""Greensborough"" (the spelling before 1895) was planned around a central courthouse square to succeed Guilford Court House as the county seat. The county courts were thus placed closer to the geographical center of the county a location more easily reached at the time by the majority of the county\'s citizens who depended on horse and foot for travel.'"
Anchorage,Alaska,"291,538","1,706.6 sq mi",61°10′27″N 149°17′03″W﻿ ,,"https://en.wikipedia.org/wiki/Anchorage,_Alaska","b""Anchorage (officially called the Municipality of Anchorage; Dena'ina: Dgheyaytnu) is a unified home rule municipality in the U.S. state of Alaska located in the West Coast of the United States. With an estimated 291538 residents in 2018[7] it is Alaska's most populous city and contains more than 40 percent of the state's total population; among the 50 states only New York has a higher percentage of residents who live in its most populous city. All together the Anchorage metropolitan area which combines Anchorage with the neighboring Matanuska-Susitna Borough had a population of 399148 in 2018 which accounts for more than half of the state's population. At 1706 square miles of land area the city is the fourth largest city by land in the United States and larger than the smallest state Rhode Island at 1212 square miles.[8][9]"""
Plano,Texas,"288,061",71.7 sq mi,33°03′03″N 96°44′52″W﻿ ,,"https://en.wikipedia.org/wiki/Plano,_Texas",b'Plano (/pleno/ PLAY-noh) is a city in the U.S. state of Texas located approximately twenty miles (32.2 km) north of downtown Dallas. The city of Plano is a part of the Dallas-Fort Worth metropolitan area. Plano lies mostly within Collin County but includes a small portion that extends into Denton County.'
Lincoln,Nebraska,"287,401",92.1 sq mi,40°48′38″N 96°40′49″W﻿ ,,"https://en.wikipedia.org/wiki/Lincoln,_Nebraska",b'Lincoln is the capital of the U.S. state of Nebraska and the county seat of Lancaster County. The city covers 94.267 square miles (244.150 km2) with a population of 287401 in 2018. It is the second-most populous city in Nebraska and the 70th-largest in the United States. The city is the economic and cultural anchor of a substantially larger metropolitan area in the southeastern part of the state called the Lincoln Metropolitan and Lincoln-Beatrice Combined Statistical Areas. The statistical area is home to 353120 people making it the 106th-largest combined statistical area in the United States.'
Orlando,Florida,"285,713",105.2 sq mi,28°25′00″N 81°16′25″W﻿ ,,"https://en.wikipedia.org/wiki/Orlando,_Florida","b""Orlando (/rlndo/) is a city in the U.S. state of Florida and the county seat of Orange County. Located in Central Florida it is the center of the Orlando metropolitan area which had a population of 2509831 according to U.S. Census Bureau figures released in July 2017. These figures make it the 23rd-largest metropolitan area[8] in the United States the sixth-largest metropolitan area in the Southern United States and the third-largest metropolitan area in Florida. As of 2015 Orlando had an estimated city-proper population of 280257 making it the 73rd-largest city in the United States the fourth-largest city in Florida and the state's largest inland city."""
Irvine,California,"282,572",65.6 sq mi,33°40′42″N 117°46′17″W﻿ ,John Wayne International AirportSNA (Major/International),"https://en.wikipedia.org/wiki/Irvine,_California","b""Irvine (/rvan/) is a master-planned city in Orange County California United States in the Los Angeles metropolitan area. The Irvine Company started developing the area in the 1960s and the city was formally incorporated on December 28 1971. The 66-square-mile (170 km2) city[12] had a population of 212375 as of the 2010 census; in 2018 the California Department of Finance estimated the city's population at 276176.[9]"""
Newark,New Jersey,"282,090",24.1 sq mi,40°43′27″N 74°10′21″W﻿ ,,"https://en.wikipedia.org/wiki/Newark,_New_Jersey","b""Newark (/njurk/[25] locally /njrk/)[26] is the most populous city in the U.S. state of New Jersey and the seat of Essex County.[27] As one of the nation's major air shipping and rail hubs the city had a population of 282090 in 2018[14] making it the nation's 73rd-most populous municipality[15] after being ranked 63rd in the nation in 2000.[16]"""
Toledo,Ohio,"274,975",80.7 sq mi,41°39′51″N 83°34′55″W﻿ ,,"https://en.wikipedia.org/wiki/Toledo,_Ohio",b'Toledo (/tlido/) is a city in and the county seat of Lucas County Ohio United States.[6] Toledo is in northwest Ohio at the western end of Lake Erie bordering the state of Michigan. The city was founded in 1833 on the west bank of the Maumee River and originally incorporated as part of Monroe County Michigan Territory. It was re-founded in 1837 after conclusion of the Toledo War when it was incorporated in Ohio.'
Durham,North Carolina,"274,291",109.8 sq mi,35°58′52″N 78°54′10″W﻿ ,,"https://en.wikipedia.org/wiki/Durham,_North_Carolina","b""Durham is a city in and the county seat of Durham County[6] in the U.S. state of North Carolina.\nThe U.S. Census Bureau estimated the city's population to be 251893 as of July 1 2014 making it the 4th-most populous city in North Carolina and the 78th-most populous city in the United States.[7] Durham is the core of the four-county Durham-Chapel Hill Metropolitan Area which has a population of 542710 as of U.S. Census 2014 Population Estimates. The US Office of Management and Budget also includes Durham as a part of the Raleigh-Durham-Chapel Hill Combined Statistical Area which has a population of 2037430 as of U.S. Census 2014 Population Estimates.[8]"""
Chula Vista,California,"271,651",49.6 sq mi,32°37′40″N 117°00′55″W﻿ ,San Diego International AirportSAN (Major/International),"https://en.wikipedia.org/wiki/Chula_Vista,_California",b'Chula Vista (/tul vst/; English: beautiful view[11][12] ) is the second largest city in the San Diego metropolitan area the seventh largest city in Southern California the fourteenth largest city in the state of California and the 74th-largest city in the United States. The population was 243916 as of the 2010 census.[9]'
Fort Wayne,Indiana,"267,633",110.6 sq mi,41°05′18″N 85°08′38″W﻿ ,,"https://en.wikipedia.org/wiki/Fort_Wayne,_Indiana",b'Fort Wayne is a city in the U.S. state of Indiana and the seat of Allen County United States.[11] Located in northeastern Indiana the city is 18 miles (29 km) west of the Ohio border[12] and 50 miles (80 km) south of the Michigan border.[13] With a population of 253691 in the 2010 census it is the second-most populous city in Indiana after Indianapolis and the 75th-most populous city in the United States. It is the principal city of the Fort Wayne metropolitan area consisting of Allen Wells and Whitley counties a combined population of 419453 as of 2011. Fort Wayne is the cultural and economic center of northeastern Indiana. The city is within a 300-mile (482.803 km) radius of major population centers including Chicago Cincinnati Cleveland Columbus Detroit Indianapolis Louisville Lexington and Milwaukee.\n[14] In addition to the three core counties the combined statistical area (CSA) includes Adams DeKalb Huntington Noble and Steuben counties with an estimated population of 615077.[14]'
Jersey City,New Jersey,"265,549",14.8 sq mi,40°42′41″N 74°03′53″W﻿ ,"
Essex County
Linden
John F. Kennedy
LaGuardia
Newark Liberty
Teterboro
","https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey","b""Jersey City is the second most populous city in the U.S. state of New Jersey after Newark.[29] It is the seat of Hudson County as well as the county's largest city.[30] As of 2018 the Census Bureau's Population Estimates Program calculated that Jersey City's population was 265549[22] with the largest population increase of any municipality in New Jersey since 2010[31] an increase of about 9.4% from the 2010 United States Census when the city's population was at 247597 [21][32] ranking the city the 78th-most-populous in the nation.[33]"""
St. Petersburg,Florida,"265,098",61.8 sq mi,27°45′43″N 82°38′39″W﻿ ,,"https://en.wikipedia.org/wiki/St._Petersburg,_Florida",b'St. Petersburg is a city in Pinellas County Florida United States. As of the 2015 census estimate the population was 257083[3] making it the fifth-most populous city in Florida and the largest in the state that is not a county seat (the city of Clearwater is the seat of Pinellas County).[8]'
Laredo,Texas,"261,639",101.1 sq mi,27°33′37″N 99°29′21″W﻿ ,Laredo International Airport KLRD (LRD),"https://en.wikipedia.org/wiki/Laredo,_Texas",b'According to the 2010 census the city population was 236091 making it the tenth-most populous city in the state of Texas and third-most populated on the MexicoUnited States border after San Diego California and El Paso Texas.[3] Its metropolitan area is the 178th-largest in the \nU.S. and includes all of Webb County with a population of 250304.[3] Laredo is also part of the cross-border Laredo-Nuevo Laredo Metropolitan Area with an estimated population of 636516.[4]'
Madison,Wisconsin,"258,054",77.0 sq mi,43°05′16″N 89°25′48″W﻿ ,,"https://en.wikipedia.org/wiki/Madison,_Wisconsin","b""Madison is the capital of the U.S. state of Wisconsin and the seat of Dane County. As of July 1 2017 Madison's estimated population of 255214[4] made it the second-largest city in Wisconsin by population after Milwaukee and the 82nd-largest in the United States. The city forms the core of the Madison Metropolitan Area which includes Dane County and neighboring Iowa Green and Columbia counties for a population of 654230."""
Chandler,Arizona,"257,165",64.9 sq mi,33°16′58″N 111°51′18″W﻿ ,,"https://en.wikipedia.org/wiki/Chandler,_Arizona",b'Chandler is a city in Maricopa County Arizona United States and a prominent suburb of the Phoenix Arizona Metropolitan Statistical Area (MSA). It is bordered to the north and west by Tempe to the north by Mesa to the west by Phoenix to the south by the Gila River Indian Community and to the east by Gilbert. As of 2017 the population was estimated at 253458 according to the United States Census Bureau.[4]'
Buffalo,New York,"256,304",40.4 sq mi,42°53′33″N 78°51′35″W﻿ ,,"https://en.wikipedia.org/wiki/Buffalo,_New_York",b'Buffalo is the second largest city in the U.S. state of New York and the largest city in Western New York. As of 2017[update] the population was 258612. The city is the county seat of Erie County and a major gateway for commerce and travel across the CanadaUnited States border forming part of the bi-national Buffalo Niagara Region.'
Lubbock,Texas,"255,885",124.6 sq mi,33°33′56″N 101°53′12″W﻿ ,,"https://en.wikipedia.org/wiki/Lubbock,_Texas",b'Lubbock (/lbk/ LUB-k)[6]\nis the 11th-most populous city in the U.S. state of Texas and the county seat of Lubbock County. With a population of 256042 in 2015 the city is also the 83rd-most populous in the United States.[2][7] The city is in the northwestern part of the state a region known historically and geographically as the Llano Estacado and ecologically is part of the southern end of the High Plains lying at the economic center of the Lubbock metropolitan area which has a projected 2020 population of 327424.[8]'
Scottsdale,Arizona,"255,310",183.9 sq mi,33°41′03″N 111°51′40″W﻿ ,,"https://en.wikipedia.org/wiki/Scottsdale,_Arizona","b'Scottsdale is a city in the eastern part of Maricopa County Arizona United States part of the Greater Phoenix Area. Named Scottsdale in 1894 after its founder Winfield Scott a retired U.S. Army chaplain the city was incorporated in 1951 with a population of 2000. The 2015 population of the city was estimated to be 236839 according to the U.S. Census Bureau.[5] The New York Times described downtown Scottsdale as ""a desert version of Miami\'s South Beach"" and as having ""plenty of late night partying and a buzzing hotel scene.""[6] Its slogan is ""The West\'s Most Western Town.""[7]'"
Reno,Nevada,"250,998",107.3 sq mi,39°32′57″N 119°51′00″W﻿ ,Reno Stead Airport Reno–Tahoe International Airport,"https://en.wikipedia.org/wiki/Reno,_Nevada","b'Reno (/rino/ REE-noh) is a city in the U.S. state of Nevada located in the northwestern part of the state approximately 22 miles (35 km) from Lake Tahoe. Known as ""The Biggest Little City in the World""[2] Reno is known for its casino industry. Reno is the county seat of Washoe County. The city sits in a high desert river valley at the foot of the Sierra Nevada and its downtown area (along with Sparks) occupies a valley informally known as the Truckee Meadows. The city is named after Union Major General Jesse L. Reno who was killed in action during the American Civil War at the Battle of South Mountain on Fox\'s Gap.'"
Glendale,Arizona,"250,702",59.1 sq mi,33°31′59″N 112°11′24″W﻿ ,,"https://en.wikipedia.org/wiki/Glendale,_Arizona",b'Glendale /lndel/ is a city in Maricopa County Arizona United States located about nine miles (14 km) northwest from Downtown Phoenix. According to the 2017 U.S. Census estimates the population of the city is 246709.[3]'
Gilbert,Arizona,"248,279",68.0 sq mi,33°18′37″N 111°44′35″W﻿ ,,"https://en.wikipedia.org/wiki/Gilbert,_Arizona","b'Gilbert is a town in Maricopa County Arizona United States located southeast of Phoenix within the Phoenix metropolitan area. Once known as the ""Hay Shipping Capital of the World""[5] It is the sixth-largest municipality in Arizona and the fifth-largest in the Metropolitan Phoenix Area.'"
Winston–Salem,North Carolina,"246,328",132.5 sq mi,36°06′10″N 80°15′40″W﻿ ,,"https://en.wikipedia.org/wiki/Winston%E2%80%93Salem,_North_Carolina","b'Winston-Salem is called the ""Twin City"" for its dual heritage and ""City of the Arts and Innovation"" for its dedication to fine arts and theater and technological research. ""Camel City"" is a reference to the city\'s historic involvement in the tobacco industry related to locally based R. J. Reynolds Tobacco Company\'s Camel cigarettes. Many locals refer to the city as ""Winston"" in informal speech. Another nickname ""the Dash"" comes from the dash in the city\'s name (although technically it is a hyphen[citation needed]); this nickname is used by the local minor league baseball team the Winston-Salem Dash.'"
North Las Vegas,Nevada,"245,949",98.0 sq mi,36°17′09″N 115°05′38″W﻿ ,,"https://en.wikipedia.org/wiki/North_Las_Vegas,_Nevada",b'North Las Vegas  is a city in Clark County Nevada United States in the Las Vegas Valley. As of the 2010 census it had a population of 216961[3] with an estimated population of 249180 in 2017.[4] The city was incorporated on May 16 1946. It is in the Las Vegas MSA and is the fourth largest city in the state of Nevada.'
Norfolk,Virginia,"244,076",53.3 sq mi,36°55′23″N 76°14′41″W﻿ ,,"https://en.wikipedia.org/wiki/Norfolk,_Virginia",b'Norfolk (/nrfk/ NOR-fuuk) is an independent city in the Commonwealth of Virginia in the United States. At the 2010 census the population was 242803;[5] in 2017 the population was estimated to be 244703[6] making it the second-most populous city in Virginia after neighboring Virginia Beach.'
Chesapeake,Virginia,"242,634",338.5 sq mi,36°40′46″N 76°18′06″W﻿ ,,"https://en.wikipedia.org/wiki/Chesapeake,_Virginia",b'Chesapeake is included in the Virginia BeachNorfolkNewport News VANC MSA. One of the cities in the South Hampton Roads Chesapeake was organized in 1963 by voter referendums approving the political consolidation of the city of South Norfolk with the remnants of the former Norfolk County which dated to 1691. (Much of the territory of the county had been annexed by other cities.) Chesapeake is the second-largest city by land area in the Commonwealth of Virginia and the 17th-largest in the United States.'
Garland,Texas,"242,507",57.0 sq mi,32°54′35″N 96°37′49″W﻿ ,,"https://en.wikipedia.org/wiki/Garland,_Texas",b'Garland is a city in the U.S. state of Texas. It is located northeast of Dallas and is a part of the DallasFort Worth metroplex. It is located almost entirely within Dallas County except a small portion located in Collin and Rockwall counties.[5][6] As of the 2010 census the city had a population of 226876 making it the 87th-most populous city in the United States of America and the 12th-most populous city in the state of Texas. In 2017 the population rose to 238002. Garland is second only to the City of Dallas in Dallas County by population and has easy access to downtown Dallas via public transportation including two Dart Blue line stations and buses.'
Irving,Texas,"242,242",67.0 sq mi,32°51′28″N 96°58′12″W﻿ ,,"https://en.wikipedia.org/wiki/Irving,_Texas","b""Irving includes the Las Colinas community one of the first master-planned developments in the United States and once the largest mixed-use development in the Southwest with a land area of more than 12000 acres (4856 ha). Las Colinas is home to the Mustangs at Las Colinas which is the largest equine sculpture in the world as well as many Fortune 500 companies such as ExxonMobil Kimberly-Clark and Fluor Corporation. In April 2019 the Westin Irving Convention Center Hotel opened signalling the completion of the city's special entertainment district that includes the Irving Convention Center at Las Colinas and the Toyota Music Factory.[10]"""
Hialeah,Florida,"238,942",21.5 sq mi,25°52′12″N 80°18′10″W﻿ ,,"https://en.wikipedia.org/wiki/Hialeah,_Florida","b""Hialeah has the highest percentage of Cuban and Cuban American residents of any city in the United States at 73.37% of the population making them a typical and prominent feature of the city's culture. All Hispanics make up 94.7% of the city's population the second-highest percentage of a Hispanic population in a U.S. city with over 100000 citizens."""
Fremont,California,"237,807",77.5 sq mi,37°29′40″N 121°56′28″W﻿ ,,"https://en.wikipedia.org/wiki/Fremont,_California",b'Located in the southeast San Francisco Bay Area and straddling both the East Bay and South Bay regions Fremont has a rapidly-growing population of around 230000.[11] It is one of the largest cities by land area and the fourth most populous city in the San Francisco Bay Area behind San Jose San Francisco and Oakland. It directly borders and is the closest East Bay city to Silicon Valley as formally defined and is thus often associated with it. The city has an extensive and rapidly expanding base of both tech industry and workers.'
Boise,Idaho,"228,790",82.1 sq mi,43°36′01″N 116°13′54″W﻿ ,,"https://en.wikipedia.org/wiki/Boise,_Idaho",b'Boise (/bsi/ (listen)[4]) is the capital and most populous city of the U.S. state of Idaho and is the county seat of Ada County. Located on the Boise River in southwestern Idaho the population of Boise at the 2010 Census was 205671 the 99th largest in the United States. Its estimated population in 2016 was 223154.[5]'
Richmond,Virginia,"228,783",59.8 sq mi,37°31′53″N 77°28′34″W﻿ ,,"https://en.wikipedia.org/wiki/Richmond,_Virginia",b'Richmond (/rtmnd/) is the capital of the Commonwealth of Virginia in the United States. It is the center of the Richmond Metropolitan Statistical Area (MSA) and the Greater Richmond Region. Richmond was incorporated in 1742 and has been an independent city since 1871.'
Baton Rouge,Louisiana,"221,599",85.9 sq mi,30°26′32″N 91°07′51″W﻿ ,,"https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","b""Baton Rouge (/btn ru/ BAT-n ROOZH; from French  baton rouge [bt u] (listen) meaning 'red stick') is the capital of the U.S. state of Louisiana. Located on the eastern bank of the Mississippi River it is the parish seat of East Baton Rouge Parish the most populous parish in Louisiana. It is the 99th most populous city in the United States and second-largest city in Louisiana after New Orleans. It is also the 16th most populous state capital. As of the U.S. Census Bureau's July 2017 estimate Baton Rouge had a population of 227549 down from 229493 at the 2010 census.[6] Baton Rouge is the center of Greater Baton Rouge the second-largest metropolitan area in Louisiana with a population of 834159 as of 2017 up from 802484 in 2010 and 829719 in 2015.[7]"""
Spokane,Washington,"219,190",68.7 sq mi,47°40′01″N 117°26′00″W﻿ ,,"https://en.wikipedia.org/wiki/Spokane,_Washington",b'Spokane (/spokn/ (listen) spoh-KAN)[7] is a city in Spokane County in the state of Washington in the northwestern United States. It is located on the Spokane River west of the Rocky Mountain foothills in eastern Washington 92 miles (148 km) south of the CanadaUS border 18 miles (30 km) from the WashingtonIdaho border and 228 miles (367 km) east of Seattle along Interstate 90.'
Des Moines,Iowa,"216,853",88.9 sq mi,41°34′21″N 93°36′37″W﻿ ,,"https://en.wikipedia.org/wiki/Des_Moines,_Iowa","b'Des Moines (/dmn/ (listen)) is the capital and the most populous city in the U.S. state of Iowa. It is also the county seat of Polk County. A small part of the city extends into Warren County.[7] It was incorporated on September 22 1851 as Fort Des Moines which was shortened to ""Des Moines"" in 1857.[8] It is on and named after the Des Moines River which likely was adapted from the early French name Riviere des Moines meaning ""River of the Monks"". The city\'s population was 217521 as of the 2017 population estimate.[9] The five-county metropolitan area is ranked 89th in terms of population in the United States with 634725 residents according to the 2016 estimate by the United States Census Bureau and is the second largest metropolitan area in the state after that of Omaha Nebraska which includes three counties in southwest Iowa.[10]'"
Tacoma,Washington,"216,279",49.7 sq mi,47°15′08″N 122°27′35″W﻿ ,,"https://en.wikipedia.org/wiki/Tacoma,_Washington","b'Tacoma adopted its name after the nearby Mount Rainier originally called Takhoma or Tahoma. It is locally known as the ""City of Destiny"" because the area was chosen to be the western terminus of the Northern Pacific Railroad in the late 19th century. The decision of the railroad was influenced by Tacoma\'s neighboring deep-water harbor Commencement Bay. By connecting the bay with the railroad Tacoma\'s motto became ""When rails meet sails"". Commencement Bay serves the Port of Tacoma a center of international trade on the Pacific Coast and Washington State\'s largest port.'"
San Bernardino,California,"215,941",61.5 sq mi,34°08′30″N 117°17′37″W﻿ ,San Bernardino International AirportSBD (Major/International),"https://en.wikipedia.org/wiki/San_Bernardino,_California","b'San Bernardino (/sn brndino/) is a city located in the RiversideSan Bernardino metropolitan area (sometimes called the ""Inland Empire"") and that serves as the county seat of San Bernardino County California United States. As one of the Inland Empire\'s anchor cities San Bernardino spans 81 square miles (210 km2) on the floor of the San Bernardino Valley and as of 2017 has a population of 216995.[9][8] San Bernardino is the 17th-largest city in California and the 102nd-largest city in the United States. San Bernardino is home to numerous diplomatic missions for the Inland Empire being one of four cities in California with numerous consulates (the other three being Los Angeles San Diego and the greater metropolitan San Francisco Bay Area including San Jose and San Francisco). The governments of Guatemala and Mexico have also established their consulates in the downtown area of the city.[10]'"
Modesto,California,"215,030",43.0 sq mi,37°38′15″N 121°00′11″W﻿ ,,"https://en.wikipedia.org/wiki/Modesto,_California","b'Modesto /mdsto/[12] (Spanish for ""modest"")[13] officially the City of Modesto is the county seat and largest city of Stanislaus County California United States. With a population of approximately 201165 at the 2010 census it is the 18th largest city in the state of California and forms part of the ModestoMerced combined statistical area. The Modesto Census County Division which includes the cities of Ceres and Riverbank had a population of 312842 as of 2010[update].[14]'"
Fontana,California,"213,739",43.0 sq mi,34°06′32″N 117°27′46″W﻿ ,,"https://en.wikipedia.org/wiki/Fontana,_California",b'Fontana (/fntn/) is a city in San Bernardino County California. Founded by Azariel Blanchard Miller in 1913[1] it remained essentially rural until World War II when entrepreneur Henry J. Kaiser built a large steel mill in the area. It is now a regional hub of the trucking industry with Interstate 10 and State Route 210 transecting the city from east to west and Interstate 15 passing diagonally through its northwestern quadrant.'
Santa Clarita,California,"210,089",52.8 sq mi,34°24′11″N 118°30′15″W﻿ ,,"https://en.wikipedia.org/wiki/Santa_Clarita,_California",b'Santa Clarita officially the City of Santa Clarita is the third largest city in Los Angeles County California and the 24th largest in the state of California.[6] The city has annexed a number of unincorporated areas contributing to the large population increase. It is located about 35 miles (56 kilometers) northwest of downtown Los Angeles and occupies most of the Santa Clarita Valley. It is a notable example of a U.S. edge city or boomburb. Santa Clarita was ranked by Money magazine in 2006 as 18th of the top 100 places to live.[9]'
Birmingham,Alabama,"209,880",146.1 sq mi,33°31′39″N 86°47′56″W﻿ ,Birmingham–Shuttlesworth International Airport,"https://en.wikipedia.org/wiki/Birmingham,_Alabama","b""Birmingham (/brmhm/ BUR-ming-ham) is a city in the north central region of the U.S. state of Alabama. With an estimated 2018 population of 209880 it is the most populous city in Alabama.[4]  Birmingham is the seat of Jefferson County Alabama's most populous and fifth largest county. As of 2018 the Birmingham-Hoover Metropolitan Statistical Area had a population of 1151801 making it the most populous in Alabama and 49th-most populous in the United States. Birmingham serves as an important regional hub and is associated with the Deep South Piedmont and Appalachian regions of the nation."""
Oxnard,California,"209,877",26.9 sq mi,34°12′08″N 119°12′17″W﻿ ,Oxnard Airport (OXR)commercial service,"https://en.wikipedia.org/wiki/Oxnard,_California",b'Oxnard (/ksnrd/) is a city in Ventura County California United States. Located along the coast of Southern California it is the most populous city in Ventura County and the 19th most populous city in California. Incorporated in 1903 the city lies approximately 60 miles (97 km) west of downtown Los Angeles and is part of the larger Greater Los Angeles area.'
Fayetteville,North Carolina,"209,468",147.7 sq mi,35°04′58″N 78°58′25″W﻿ ,,"https://en.wikipedia.org/wiki/Fayetteville,_North_Carolina",b'Fayetteville has received the All-America City Award from the National Civic League three times. As of the 2010 census it had a population of 200564[5] with an estimated population of 204408 in 2013.[6] It is the 6th-largest city in North Carolina. Fayetteville is in the Sandhills in the western part of the Coastal Plain region on the Cape Fear River.'
Moreno Valley,California,"209,050",51.3 sq mi,33°55′24″N 117°12′21″W﻿ ,,"https://en.wikipedia.org/wiki/Moreno_Valley,_California","b""Moreno Valley is a city located in Riverside County California and is part of the San Bernardino-Riverside Metropolitan Area. A relatively young city its rapid growth from the 1980s to the early 2000s made it the second-largest city in Riverside County by population and one of the Inland Empire's population centers. As of the 2010 census[10] the city's population was 193365. The city is closely tied to Riverside California the county seat and largest city in the county which borders Moreno Valley directly to the west. Moreno Valley is also part of the Greater Los Angeles area."""
Rochester,New York,"206,284",35.8 sq mi,43°10′12″N 77°37′01″W﻿ ,,"https://en.wikipedia.org/wiki/Rochester,_New_York",b'Rochester (/rtstr -s-/) is a city on the southern shore of Lake Ontario in western New York. With a population of 208046 residents Rochester is the seat of Monroe County and the third most populous city in New York state after New York City and Buffalo. The metropolitan area has a population of just over 1 million people. It is about 73 miles (117 km) east of Buffalo and 87 miles (140 km) west of Syracuse.'
Glendale,California,"201,361",30.4 sq mi,34°10′53″N 118°14′45″W﻿ ,Los Angeles International AirportLAX (Major/International),"https://en.wikipedia.org/wiki/Glendale,_California",b'Glendale /lndel/ is a city in Los Angeles County California United States. Its estimated 2014 population was 200167[10] making it the third-largest city in Los Angeles County and the 23rd-largest city in California. It is located about 8 mi (13 km) north of downtown Los Angeles.'
Huntington Beach,California,"200,641",26.9 sq mi,33°41′26″N 118°00′33″W﻿ ,John Wayne International AirportSNA (Major/International),"https://en.wikipedia.org/wiki/Huntington_Beach,_California",b'Huntington Beach is a seaside city in Orange County in Southern California. The city is named after American businessman Henry E. Huntington. The population was 189992 during the 2010 census making it the most populous beach city in Orange County and the seventh most populous city in the Los Angeles-Long Beach-Anaheim CA Metropolitan Statistical Area.[citation needed] Its estimated 2014 population was 200809.[15] It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west the Pacific Ocean on the southwest by Seal Beach on the northwest by Westminster on the north by Fountain Valley on the northeast by Costa Mesa on the east and by Newport Beach on the southeast.'
Salt Lake City,Utah,"200,591",111.2 sq mi,40°46′37″N 111°55′52″W﻿ ,,https://en.wikipedia.org/wiki/Salt_Lake_City,b'Salt Lake City (often shortened to Salt Lake and abbreviated as SLC) is the capital and most populous municipality of the U.S. state of Utah and county seat of Salt Lake County. With an estimated population of 190884 in 2014[6] the city is the core of the Salt Lake City metropolitan area which has a population of 1153340 (2014 estimate). Salt Lake City is further situated within a larger metropolis known as the Salt Lake CityOgdenProvo Combined Statistical Area a corridor of contiguous urban and suburban development stretched along a 120-mile (190 km) segment of the Wasatch Front comprising a population of 2423912 (as of 2014 estimates).[7] It is one of only two major urban areas in the Great Basin.[8]'
Grand Rapids,Michigan,"200,217",44.4 sq mi,42°57′40″N 85°39′20″W﻿ ,,"https://en.wikipedia.org/wiki/Grand_Rapids,_Michigan",b'Grand Rapids is the second-largest city in Michigan and the largest city in West Michigan. It is on the Grand River about 30 miles (48 km) east of Lake Michigan. As of the 2010 census the city population was 188040. In 2010 the Grand Rapids metropolitan area had a population of 1005648 and the combined statistical area of Grand Rapids-Muskegon-Holland had a population of 1321557. Grand Rapids is the county seat of Kent County.[7]'
Amarillo,Texas,"199,924",101.4 sq mi,35°12′00″N 101°49′49″W﻿ ,,"https://en.wikipedia.org/wiki/Amarillo,_Texas",b'Amarillo (/mrlo/[4] AM--RIL-oh) is the 14th-most populous city in the state of Texas United States. It is also the largest city in the Texas Panhandle and the seat of Potter County.[5] A portion of the city extends into Randall County. The estimated population was 199826 as of 2017.[6] The Amarillo metropolitan area has an estimated population of 276020 in four counties as of 2017.[7] The metro population is projected to surpass 310000 in 2020.[8]'
Yonkers,New York,"199,663",18.0 sq mi,40°56′45″N 73°52′03″W﻿ ,,"https://en.wikipedia.org/wiki/Yonkers,_New_York",b'Yonkers (/jkrz/[5]) is a city in Westchester County New York. It is the fourth most populous city in the U.S. state of New York behind New York City Buffalo and Rochester. The population of Yonkers was 195976 as enumerated in the 2010 United States Census and is estimated to have increased by 2.5% to 200807 in 2016.[6] It is an inner suburb of New York City directly to the north of the Bronx and approximately two miles (3 km) north of the northernmost point in Manhattan.'
Aurora,Illinois,"199,602",44.9 sq mi,41°45′49″N 88°17′24″W﻿ ,,"https://en.wikipedia.org/wiki/Aurora,_Illinois","b""Once a mid-sized manufacturing city Aurora has grown since the 1960s. Founded within Kane County Aurora's city limits and population have expanded into DuPage Will and Kendall counties. Between 2000 and 2003 the U.S. Census Bureau ranked Aurora as the 34th fastest-growing city in the United States.[8] From 2000 to 2009 the U.S. Census Bureau ranked the city as the 46th fastest growing city with a population of over 100000.[9]"""
Montgomery,Alabama,"198,218",159.8 sq mi,32°20′50″N 86°15′58″W﻿ ,,"https://en.wikipedia.org/wiki/Montgomery,_Alabama","b""Montgomery is the capital city of the U.S. state of Alabama and the county seat of Montgomery County.[6] Named for Richard Montgomery it stands beside the Alabama River on the coastal Plain of the Gulf of Mexico.  In the 2010 Census Montgomery's population was 205764. It is the second most populous city in Alabama after Birmingham[7] and is the 118th most populous in the United States. The Montgomery Metropolitan Statistical Area's population in 2010 was estimated at 374536; it is the fourth largest in the state and 136th among United States metropolitan areas.[8]"""
